ID;EDAD;RANGO_EDAD;SITUACION;ANTIGUEDAD;EDUCACION;ESTADO_CIVIL;INGRESO;CNT_PRESTAMOS;DESTINO;CATEGORIA;COMPORTAMIENTO
1909349;40;joven-adulto;independiente;11;terciaria;casado;33750000;9;capital de trabajo;B;bueno
1827791;60;mayor;independiente;13;primaria;casado;11100000;3;otros;C;malo
2082926;39;joven-adulto;dependiente;3;primaria;casado;19150000;6;consumo;A;bueno
1733638;51;adulto;dependiente;13;secundaria;soltero;22250000;7;vivienda;A;malo
1749498;31;joven-adulto;independiente;11;terciaria;soltero;10300000;2;otros;C;malo
2892984;47;adulto;independiente;9;primaria;casado;18850000;3;capital de trabajo;B;bueno
2816871;48;adulto;dependiente;13;secundaria;casado;38050000;5;otros;B;bueno
1909117;57;mayor;dependiente;8;terciaria;soltero;22350000;3;capital de trabajo;A;bueno
2563966;53;adulto;dependiente;11;terciaria;soltero;38450000;6;capital de trabajo;C;malo
2901250;53;adulto;independiente;10;secundaria;soltero;13650000;2;consumo;C;malo
2962526;39;joven-adulto;independiente;7;terciaria;casado;32750000;4;otros;B;bueno
2860682;32;joven-adulto;independiente;12;primaria;casado;8800000;9;vivienda;A;bueno
1563895;48;adulto;dependiente;11;secundaria;casado;4400000;2;vehiculo;C;malo
1684906;31;joven-adulto;independiente;1;secundaria;soltero;13950000;9;vehiculo;A;bueno
1089388;42;adulto;dependiente;14;terciaria;soltero;14050000;2;vivienda;B;bueno
2512634;64;mayor;independiente;7;secundaria;casado;22650000;1;vivienda;C;malo
3316334;37;joven-adulto;dependiente;7;primaria;soltero;32250000;1;vehiculo;C;bueno
1147089;37;joven-adulto;independiente;9;primaria;soltero;14200000;5;otros;A;bueno
2069532;24;joven;independiente;7;primaria;soltero;20450000;3;capital de trabajo;A;bueno
1661268;39;joven-adulto;independiente;10;primaria;casado;18150000;2;vivienda;A;bueno
3427354;62;mayor;dependiente;13;secundaria;casado;13350000;6;capital de trabajo;C;malo
2054413;31;joven-adulto;dependiente;7;terciaria;soltero;22250000;4;consumo;A;bueno
1837728;30;joven-adulto;independiente;7;secundaria;soltero;33250000;9;vehiculo;B;bueno
2064293;54;adulto;dependiente;3;terciaria;casado;16250000;8;consumo;B;malo
1255784;46;adulto;independiente;4;primaria;soltero;20650000;5;capital de trabajo;B;bueno
1202433;56;mayor;dependiente;13;terciaria;casado;8800000;9;vivienda;A;bueno
1475293;24;joven;dependiente;14;secundaria;casado;7500000;8;vehiculo;B;malo
1176927;21;joven;independiente;5;terciaria;soltero;25450000;1;capital de trabajo;B;malo
1414774;28;joven-adulto;independiente;8;terciaria;soltero;7200000;2;otros;A;bueno
1137752;24;joven;independiente;12;secundaria;casado;36050000;6;capital de trabajo;B;bueno
1066752;37;joven-adulto;independiente;14;secundaria;casado;39150000;6;otros;C;malo
2322293;22;joven;dependiente;9;secundaria;soltero;11950000;3;capital de trabajo;B;bueno
2050951;33;joven-adulto;dependiente;9;secundaria;soltero;35950000;6;vivienda;A;bueno
1005964;61;mayor;dependiente;10;terciaria;soltero;25850000;8;vehiculo;C;bueno
2865019;34;joven-adulto;dependiente;14;secundaria;casado;19450000;5;vehiculo;C;malo
3516069;27;joven;independiente;4;secundaria;soltero;21150000;7;capital de trabajo;B;bueno
2016745;29;joven-adulto;dependiente;2;secundaria;casado;16050000;5;otros;A;bueno
2096766;59;mayor;independiente;4;terciaria;soltero;22850000;1;otros;B;malo
1182481;49;adulto;independiente;7;primaria;casado;36950000;1;consumo;B;bueno
4538617;44;adulto;dependiente;5;primaria;casado;25550000;9;vivienda;A;bueno
1958580;31;joven-adulto;independiente;15;terciaria;soltero;38250000;3;capital de trabajo;C;bueno
2091614;28;joven-adulto;independiente;15;terciaria;soltero;8700000;8;vehiculo;A;malo
1216661;57;mayor;independiente;11;primaria;soltero;7000000;1;consumo;A;bueno
2890187;53;adulto;independiente;13;primaria;casado;24950000;7;vehiculo;A;bueno
1883545;57;mayor;independiente;1;secundaria;casado;27950000;2;consumo;C;malo
1498257;21;joven;dependiente;2;secundaria;soltero;15750000;6;capital de trabajo;A;bueno
2501968;34;joven-adulto;independiente;6;terciaria;soltero;35850000;5;vivienda;B;bueno
1676998;21;joven;independiente;2;terciaria;soltero;26350000;1;vivienda;B;malo
4048500;62;mayor;independiente;2;primaria;casado;19350000;9;vehiculo;A;bueno
1846659;22;joven;independiente;1;secundaria;soltero;2900000;6;vehiculo;A;malo
2701639;47;adulto;dependiente;12;secundaria;soltero;29450000;7;capital de trabajo;A;malo
2700833;19;joven;dependiente;4;secundaria;casado;6900000;7;vivienda;C;malo
1904606;55;adulto;dependiente;1;terciaria;soltero;13350000;6;consumo;C;malo
4093891;57;mayor;dependiente;7;primaria;casado;30750000;6;vehiculo;A;bueno
2467737;40;joven-adulto;independiente;1;secundaria;soltero;10500000;1;otros;B;bueno
1083736;29;joven-adulto;independiente;2;primaria;soltero;19650000;4;vehiculo;C;malo
4405725;19;joven;independiente;13;primaria;soltero;4800000;2;consumo;C;malo
2267783;58;mayor;independiente;7;primaria;soltero;28050000;8;consumo;B;bueno
1203996;60;mayor;dependiente;1;primaria;casado;11200000;5;vehiculo;A;malo
1107197;20;joven;independiente;13;secundaria;casado;38350000;3;consumo;C;malo
3960174;61;mayor;independiente;1;primaria;soltero;23750000;7;consumo;C;malo
1176807;37;joven-adulto;independiente;7;primaria;casado;10600000;1;vivienda;A;bueno
1500540;38;joven-adulto;independiente;10;secundaria;soltero;16550000;4;vehiculo;C;malo
1218342;20;joven;dependiente;11;secundaria;casado;3100000;3;vivienda;C;malo
2625498;27;joven;independiente;4;terciaria;soltero;5100000;6;otros;C;malo
3201234;48;adulto;dependiente;6;primaria;casado;33550000;7;consumo;C;bueno
1178670;55;adulto;independiente;2;terciaria;casado;19250000;6;vivienda;A;bueno
2132768;23;joven;dependiente;5;secundaria;soltero;38150000;4;otros;A;bueno
2628485;30;joven-adulto;dependiente;2;terciaria;casado;13850000;4;otros;B;bueno
2413488;36;joven-adulto;independiente;2;terciaria;soltero;31150000;5;vivienda;A;bueno
2520530;25;joven;dependiente;1;primaria;casado;26650000;5;capital de trabajo;B;bueno
2510750;59;mayor;dependiente;12;secundaria;soltero;15150000;7;capital de trabajo;B;bueno
2860653;33;joven-adulto;dependiente;9;secundaria;soltero;13800000;8;otros;B;bueno
1407874;27;joven;dependiente;15;primaria;soltero;16550000;9;vehiculo;A;bueno
1929321;46;adulto;independiente;4;primaria;soltero;38050000;4;vehiculo;A;bueno
2633003;23;joven;dependiente;6;secundaria;casado;14500000;5;vivienda;C;malo
2962517;44;adulto;dependiente;2;terciaria;soltero;22050000;2;capital de trabajo;C;malo
1394099;54;adulto;dependiente;5;terciaria;casado;27450000;3;consumo;C;bueno
2179497;34;joven-adulto;dependiente;10;primaria;soltero;11300000;2;vivienda;C;malo
2196348;43;adulto;dependiente;13;secundaria;casado;28150000;2;vehiculo;C;bueno
1325907;59;mayor;independiente;8;terciaria;casado;16750000;7;otros;C;malo
5490152;18;joven;independiente;4;terciaria;soltero;8100000;9;consumo;B;malo
1973864;18;joven;dependiente;3;secundaria;casado;17350000;4;vivienda;A;bueno
3358360;52;adulto;independiente;9;secundaria;casado;13700000;8;vivienda;A;bueno
1177209;47;adulto;independiente;13;secundaria;soltero;14350000;8;vehiculo;C;malo
2682887;32;joven-adulto;independiente;3;secundaria;casado;22950000;9;consumo;C;malo
1678318;59;mayor;independiente;5;secundaria;soltero;23850000;9;capital de trabajo;B;bueno
1687414;36;joven-adulto;dependiente;3;primaria;soltero;8400000;6;vivienda;C;bueno
2615891;19;joven;independiente;12;terciaria;soltero;5900000;7;vehiculo;A;malo
2485272;47;adulto;independiente;14;terciaria;casado;9400000;3;vivienda;C;malo
1753811;48;adulto;dependiente;6;secundaria;casado;12300000;1;consumo;C;malo
2212719;50;adulto;dependiente;2;terciaria;soltero;26450000;6;vivienda;B;malo
1293635;52;adulto;dependiente;9;terciaria;soltero;25850000;2;capital de trabajo;A;bueno
2089737;25;joven;dependiente;13;terciaria;soltero;6500000;4;vehiculo;B;malo
3702818;19;joven;dependiente;14;secundaria;casado;11100000;5;otros;B;malo
2275312;57;mayor;dependiente;15;secundaria;soltero;32850000;1;capital de trabajo;B;bueno
1208786;21;joven;dependiente;13;secundaria;soltero;17950000;9;vivienda;B;bueno
1527099;44;adulto;independiente;13;primaria;soltero;14500000;3;capital de trabajo;A;bueno
2561729;51;adulto;dependiente;1;terciaria;casado;33750000;2;consumo;A;bueno
2299376;32;joven-adulto;independiente;11;secundaria;casado;40450000;1;consumo;A;bueno
1922214;27;joven;independiente;3;secundaria;casado;15550000;8;vehiculo;C;malo
1237578;18;joven;dependiente;4;secundaria;casado;6800000;1;vivienda;A;malo
4047057;63;mayor;independiente;3;terciaria;casado;29050000;1;capital de trabajo;C;bueno
5096398;60;mayor;independiente;14;primaria;casado;12850000;4;consumo;B;malo
1772354;60;mayor;independiente;8;secundaria;casado;17350000;8;vivienda;C;malo
1755965;39;joven-adulto;dependiente;5;primaria;casado;37550000;8;otros;C;malo
2640888;64;mayor;independiente;7;terciaria;soltero;28050000;7;consumo;A;bueno
1288752;27;joven;dependiente;10;secundaria;soltero;23750000;4;vehiculo;A;bueno
2692718;30;joven-adulto;dependiente;13;primaria;soltero;15750000;8;consumo;B;malo
2238737;51;adulto;independiente;3;primaria;casado;5900000;7;vivienda;B;bueno
